id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
13414785,"房间空旷舒适,阿姆斯特丹北坐公交到中心站十五分钟左右,步行到Dam广场",32533816,Ella,,Noord-Oost,52.40234851321929,4.945605172436635,Private room,55,1,27,2017-11-19,1.53,1,44
18799813,Bright modern house with a green waterview.,130869826,Julia Sophie,,Noord-Oost,52.410400215649766,4.930311787880345,Private room,110,3,9,2017-10-23,1.71,1,86
12258399,"Great full house, free parking!",66010425,Ralph,,Noord-Oost,52.40666127314348,4.932477068867378,Entire home/apt,120,2,23,2017-10-02,1.20,1,0
21631058,Sleeping Under The Stars! City&Rural Life Combined,75415761,Iris,,Noord-Oost,52.38503317694669,4.954005295432835,Private room,130,2,0,,,2,349
20242606,lovely apartment,129744934,Kevin,,Noord-Oost,52.395173511435516,4.9443361121305385,Private room,69,3,9,2017-11-19,2.37,1,177
17809110,Light apartment with spacious room in Adam-N!,121718893,Tommy,,Noord-Oost,52.391471186537395,4.9547113256708455,Private room,75,1,8,2017-10-23,1.10,1,63
15442737,Genuine apartement in green & quiet area,21414295,David,,Noord-Oost,52.392848482968084,4.9508214751962845,Entire home/apt,70,3,7,2017-11-26,1.59,2,0
15459025,Spacious dyke house in hip North + free parking,99183853,Henricke,,Noord-Oost,52.39678507277207,4.924355498363656,Entire home/apt,185,3,3,2017-07-31,0.22,1,0
17838096,Entire home & sunny garden near Amsterdam central,10245300,Romy & Vincent,,Noord-Oost,52.39477934179178,4.944952950557522,Entire home/apt,98,7,9,2017-10-30,1.43,1,0
14723562,Full house in calm area with garden + free parking,91647569,Jeroen,,Noord-Oost,52.38639035693635,4.955662956253162,Entire home/apt,88,2,2,2016-09-18,0.13,1,0
17520406,Great 1 bdr appt 15 minutes to centre + terras,2527236,Janine,,Noord-Oost,52.393873880262085,4.95299486273021,Entire home/apt,160,2,0,,,4,0
13653088,Prachtig appartement Amsterdam Noord,73809023,Demian,,Noord-Oost,52.39391933003092,4.955315780324563,Entire home/apt,85,4,5,2017-08-02,0.30,1,0
1375612,Your own apartment on wheels,3040748,Henk,,Noord-Oost,52.395805772608426,4.992438640895119,Private room,74,2,77,2017-10-17,1.46,10,245
2719038,Little House close to Amsterdam,13060291,Aletta,,Noord-Oost,52.39735771428765,5.004451413105496,Entire home/apt,98,1,198,2017-11-26,4.46,1,61
21810980,Beautiful 17th century dike house,156870618,Marianne,,Noord-Oost,52.376027606007625,4.987854941067272,Entire home/apt,130,3,0,,,1,0
6858428,Romantic Houseboat,6199288,Yvonne,,Noord-Oost,52.38174634447294,4.967196918557768,Entire home/apt,80,2,86,2017-11-20,2.95,1,255
13199738,Family house at dyke + great garden + free parking,73931475,Zander,,Noord-Oost,52.37994424797125,5.000105588352865,Entire home/apt,100,2,6,2017-08-26,0.36,1,0
8811789,"Farm 1840, 15 minutes from the centre of Amsterdam",46163296,Raoul,,Noord-Oost,52.39602573549029,4.995210182661925,Entire home/apt,195,3,4,2017-04-17,0.25,1,0
5766152,Boat house just outside Amsterdam,29915748,Femke,,Noord-Oost,52.37590165819068,4.976176668695283,Entire home/apt,220,5,0,,,1,0
13664437,Great house at dyke with amazing garden by water,79441814,Jessica,,Noord-Oost,52.38686681321375,4.955770531671216,Entire home/apt,90,3,1,2016-08-24,0.06,1,0
21103286,"Large 2 bedroom apt near city center, with balcony",152165791,Edwin,,Noord-Oost,52.40058012443394,4.945062742817842,Entire home/apt,120,3,5,2017-11-26,3.13,1,259
6850043,gerenoveerd woonschip-tjalk (1908),24350341,Harold,,Noord-Oost,52.38177509748901,4.965553700830293,Entire home/apt,109,4,11,2017-09-21,0.37,1,79
12387233,Comfortable family vacation home,2939910,Camiel,,Noord-Oost,52.39701352312561,4.959170220563767,Entire home/apt,510,1,0,,,1,364
4851269,comfy big room in a nice apartment,14213099,Karima,,Noord-Oost,52.392433817430764,4.956993975114999,Private room,68,3,2,2016-08-19,0.12,1,28
3180391,B&B in 't Hooi,14547761,Ellen,,Noord-Oost,52.39654120036609,4.9950158134634925,Entire home/apt,110,2,8,2017-10-21,0.19,1,344
3179826,A charming house on a dike!,16124101,Margo,,Noord-Oost,52.38677963821603,4.954623503520729,Entire home/apt,195,3,12,2017-08-14,0.30,1,343
9192196,Appartement the Watersnip,47687781,Greet,,Noord-Oost,52.40939259639596,4.961788397510197,Private room,70,7,14,2017-10-12,0.60,3,288
18872220,Cozey room for 1 or 2,64739102,Aurelia,,Noord-Oost,52.39625370529103,4.95697222558547,Shared room,40,2,8,2017-07-20,1.30,2,64
11015568,Cosy appartment near A'dam central,57151856,Oscar,,Noord-Oost,52.398681489330905,4.936629219830892,Entire home/apt,87,4,2,2016-05-16,0.10,1,0
3753071,Best of 2 worlds in Amsterdam !,14591961,Kris,,Noord-Oost,52.39933085311902,4.932646903429829,Entire home/apt,80,3,24,2017-09-19,0.66,1,33
21147886,Large family house in hip north with free parking,152584447,Anouk,,Noord-Oost,52.407806972277456,4.933221423680305,Entire home/apt,140,2,1,2017-10-22,0.67,1,0
7160841,Your  waggon at the cows paradise,3040748,Henk,,Noord-Oost,52.40653759287596,4.995237782004904,Private room,74,2,50,2017-10-31,1.77,10,247
1338633,Green Space and Calm in Amsterdam,7259166,Mirjam,,Noord-Oost,52.39446585299704,4.945133846763909,Private room,59,4,67,2017-11-27,1.30,1,295
20585216,Great appartment in upcoming neighbourhood,11982567,Jim,,Noord-Oost,52.402111586745086,4.937854358619355,Entire home/apt,150,7,0,,,1,0
14355447,Nice double story appartment,78661445,Fraas,,Noord-Oost,52.398403789431136,4.929351093035154,Shared room,179,2,44,2017-11-28,2.73,1,351
13609091,Great house at Durgerdammerdijk + free parking,78762366,Steffi,,Noord-Oost,52.37918183032429,4.996370322936378,Entire home/apt,155,3,6,2017-08-12,0.36,1,0
4969675,Family dike house with great view,21077937,Hanneke,,Noord-Oost,52.38606915680533,4.957696521637744,Entire home/apt,140,6,10,2017-10-29,0.51,1,310
12691652,Big light appartment 10min to  AmsterdamCityCenter,54779417,Ais,,Noord-Oost,52.39659698185156,4.954086445932673,Entire home/apt,99,1,5,2017-11-12,1.32,1,0
3447998,Unique architects house on a dike,17376998,Jan,,Noord-Oost,52.38673472198049,4.959109987358877,Entire home/apt,130,4,5,2017-08-02,0.17,1,0
20815302,Charming spacious family home,38242764,Margaret,,Noord-Oost,52.38385549874854,4.962468866279667,Entire home/apt,350,3,0,,,1,352
4169219,Amsterdam | Garden | 15 min from central station!,21634661,Patricia,,Noord-Oost,52.39173447734964,4.952974450117651,Entire home/apt,150,2,15,2017-04-16,0.39,1,89
17800761,Nice family home in hip north area | free parking,121639800,Joost,,Noord-Oost,52.40610979760883,4.9320353834818995,Entire home/apt,110,3,4,2017-08-29,0.54,1,2
20090861,Beautiful home with garden 20 min away from centre,4793646,Balázs,,Noord-Oost,52.397368964696014,4.941332652080635,Entire home/apt,100,2,7,2017-10-15,1.81,1,0
3710782,Eco Barge - authentic & charming,18933257,Lot,,Noord-Oost,52.38321681317853,4.964143576125548,Entire home/apt,90,3,7,2016-04-24,0.18,1,275
20042690,Room in apartment Amsterdam Noord,50343222,Yasmin,,Noord-Oost,52.402028545942066,4.935155145043935,Private room,60,2,0,,,1,0
3284802,Spacious room close to center,10170774,Igor,,Noord-Oost,52.40969216375245,4.945237290592887,Private room,70,3,159,2017-11-10,3.76,1,45
3346620,Amsterdam Apartment - Clean Quiet Safe 2,4013546,Xsjong,,Noord-Oost,52.39951527518427,4.951645129825897,Private room,52,2,59,2017-10-16,1.41,2,361
1384479," Mirjam's place 85,- apartment ",7493597,Mirjam,,Noord-Oost,52.40173756881053,4.936887741175289,Entire home/apt,125,2,21,2016-09-12,0.43,1,122
18859385,Cozy room with balcony,131160277,Grace,,Noord-Oost,52.403563899816845,4.936229337869763,Private room,45,2,2,2017-07-30,0.32,1,0
19991473,Cozy family-friendly flat close to the city centre,51742484,Mercedes,,Noord-Oost,52.39684018213465,4.929722808314994,Entire home/apt,150,2,9,2017-10-29,2.14,1,355
13889292,Lovely family house private parking,80415638,Niek,,Noord-Oost,52.38779472140838,4.957843841242903,Entire home/apt,115,3,7,2017-10-24,0.43,1,0
11459382,Simple room with double bed,60265303,Konstantine,,Noord-Oost,52.39825249017214,4.9286089892434815,Private room,53,1,1,2016-04-11,0.05,2,0
17835031,Family Countryside House near Amsterdam,12169710,Maarten En Elien,,Noord-Oost,52.41579562321207,4.97712218503881,Entire home/apt,160,6,3,2017-08-20,0.57,1,9
12251311,Nature & the city @ your fingertips,283269,Manon,,Noord-Oost,52.40697347400426,4.932381891936562,Entire home/apt,200,2,35,2017-09-24,1.82,1,96
6417023,Amsterdam Countryside. Family house,18590000,Sander,,Noord-Oost,52.407576802693406,4.964702082604021,Entire home/apt,75,5,3,2015-08-15,0.10,1,0
20648195,"Farmhouse 10 car mins from Amsterdam, free parking",147644338,Laura,,Noord-Oost,52.40367827848858,4.961546787593078,Entire home/apt,200,2,0,,,1,0
3990045,"Groot, modern, mooi gezinshuis.",7736832,Robert,,Noord-Oost,52.408424733473126,4.934696987880022,Entire home/apt,196,2,7,2017-04-17,0.22,1,16
18145421,Large family dykhouse + garden and free park,125109318,Dominique,,Noord-Oost,52.38472439248632,4.958358040768511,Entire home/apt,180,4,0,,,1,0
6611814,Your own birdsnest on wheels,3040748,Henk,,Noord-Oost,52.41324444611566,4.946152859586055,Private room,72,2,36,2017-09-28,1.19,10,247
19523311,Gezinswoning,93199542,Jeremiah,,Noord-Oost,52.395355590216795,4.955384696583927,Entire home/apt,175,10,1,2017-09-24,0.41,1,98
2940577,Detached family home in center,15013253,Heleen,,Noord-Oost,52.39831470621982,4.925242169361386,Entire home/apt,168,2,2,2017-06-11,0.18,1,0
18865369,Amsterdam Het,65482077,Balazs,,Noord-Oost,52.39721588467846,4.937292179046516,Entire home/apt,78,2,8,2017-09-17,1.25,1,336
7822985,Luxury apartment for 4 persons,29591818,Frans,,Noord-Oost,52.40238962052545,4.942974958767861,Entire home/apt,150,4,0,,,2,0
13721210,Close to the city centre in a quiet neighbourhood,53212138,Vladimir,,Noord-Oost,52.404275358724824,4.930383005699912,Entire home/apt,150,2,5,2016-10-23,0.30,1,80
854060,"Eco-House, Garden, Silence, Privacy&Bikes",4459890,Anrik,,Noord-Oost,52.38418717538116,4.962456476608059,Entire home/apt,180,3,51,2017-09-22,0.88,1,307
515088,Familyfriendly Suite incl breakfast,2536879,Hansje,,Noord-Oost,52.39549794275491,4.995761024623377,Private room,120,2,0,,,1,348
