date;text,,,,,,,,,,,,,
"2018-09-14 10:17;""@ Max_Maks_Art @ Netflix @ Hulu @ ConstantinFilm @ NetflixUK @ NetflixLAT @ larrytanz @ reedhastings @ mmoszkowicz @ tascheim @ kareyburke @ lynnbarrieabc @ amazon @ AmazonStudios @ JeffBezos @ AppleTV @ CBC @ CBS @ MTV @ SonyCrackle @ SonyPictures @ berger710 @ OliverBerben # SAVESHADOWHUNTERSpic.twitter.com/MvwRGyqFY1""",,,,,,,,,,,,,
"2018-09-14 09:30;""""No tengas miedo de cambiar el modelo"". Reed Hastings pic.twitter.com/tBA0YsoS41""",,,,,,,,,,,,,
"2018-09-14 09:13;""@ FreeformTV @ Netflix @ Hulu @ ConstantinFilm @ NetflixUK @ NetflixLAT @ larrytanz @ reedhastings @ mmoszkowicz @ tascheim @ kareyburke @ lynnbarrieabc @ amazon @ AmazonStudios @ JeffBezos @ AppleTV @ CBC @ CBS @ MTV @ SonyCrackle @ SonyPictures @ berger710 @ OliverBerben # SAVESHADOWHUNTERS""",,,,,,,,,,,,,
"2018-09-14 09:12;""Hey @ ReedHastings"," do you know what email I don't want from @ netflix? Any suggestion I should watch @ normmacdonald's new show. His behavior has been vile. His recents statement concerning those with Down's Syndrome is inexcusable. Quit giving him a platform.""",,,,,,,,,,,,
"2018-09-14 08:49;""@ FreeformTV @ Netflix @ Hulu @ ConstantinFilm @ NetflixUK @ NetflixLAT @ larrytanz @ reedhastings @ mmoszkowicz @ tascheim @ kareyburke @ lynnbarrieabc @ amazon @ AmazonStudios @ JeffBezos @ AppleTV @ CBC @ CBS @ MTV @ SonyCrackle @ SonyPictures @ berger710 @ OliverBerben # SAVESHADOWHUNTERS""",,,,,,,,,,,,,
"2018-09-14 08:48;""@ FreeformTV @ Netflix @ Hulu @ ConstantinFilm @ NetflixUK @ NetflixLAT @ larrytanz @ reedhastings @ mmoszkowicz @ tascheim @ kareyburke @ lynnbarrieabc @ amazon @ AmazonStudios @ JeffBezos @ AppleTV @ CBC @ CBS @ MTV @ SonyCrackle @ SonyPictures @ berger710 @ OliverBerben # SAVESHADOWHUNTERS""",,,,,,,,,,,,,
"2018-09-14 08:48;""@ FreeformTV @ Netflix @ Hulu @ ConstantinFilm @ NetflixUK @ NetflixLAT @ larrytanz @ reedhastings @ mmoszkowicz @ tascheim @ kareyburke @ lynnbarrieabc @ amazon @ AmazonStudios @ JeffBezos @ AppleTV @ CBC @ CBS @ MTV @ SonyCrackle @ SonyPictures @ berger710 @ OliverBerben # SAVESHADOWHUNTERS""",,,,,,,,,,,,,
"2018-09-14 08:06;""I @ FreeformTV @ Netflix @ Hulu @ ConstantinFilm @ NetflixUK @ NetflixLAT @ larrytanz @ reedhastings @ mmoszkowicz @ tascheim @ kareyburke @ lynnbarrieabc @ amazon @ AmazonStudios @ JeffBezos @ AppleTV @ CBC @ CBS @ MTV @ SonyCrackle @ SonyPictures @ berger710 @ OliverBerben # SAVESHADOWHUNTERS""",,,,,,,,,,,,,
"2018-09-14 08:06;""Before @ FreeformTV @ Netflix @ Hulu @ ConstantinFilm @ NetflixUK @ NetflixLAT @ larrytanz @ reedhastings @ mmoszkowicz @ tascheim @ kareyburke @ lynnbarrieabc @ amazon @ AmazonStudios @ JeffBezos @ AppleTV @ CBC @ CBS @ MTV @ SonyCrackle @ SonyPictures @ berger710 @ OliverBerben # SAVESHADOWHUNTERS""",,,,,,,,,,,,,
"2018-09-14 08:06;""Now @ FreeformTV @ Netflix @ Hulu @ ConstantinFilm @ NetflixUK @ NetflixLAT @ larrytanz @ reedhastings @ mmoszkowicz @ tascheim @ kareyburke @ lynnbarrieabc @ amazon @ AmazonStudios @ JeffBezos @ AppleTV @ CBC @ CBS @ MTV @ SonyCrackle @ SonyPictures @ berger710 @ OliverBerben # SAVESHADOWHUNTERS""",,,,,,,,,,,,,
"2018-09-14 08:06;""Us @ FreeformTV @ Netflix @ Hulu @ ConstantinFilm @ NetflixUK @ NetflixLAT @ larrytanz @ reedhastings @ mmoszkowicz @ tascheim @ kareyburke @ lynnbarrieabc @ amazon @ AmazonStudios @ JeffBezos @ AppleTV @ CBC @ CBS @ MTV @ SonyCrackle @ SonyPictures @ berger710 @ OliverBerben # SAVESHADOWHUNTERS""",,,,,,,,,,,,,
"2018-09-14 08:05;""Save @ FreeformTV @ Netflix @ Hulu @ ConstantinFilm @ NetflixUK @ NetflixLAT @ larrytanz @ reedhastings @ mmoszkowicz @ tascheim @ kareyburke @ lynnbarrieabc @ amazon @ AmazonStudios @ JeffBezos @ AppleTV @ CBC @ CBS @ MTV @ SonyCrackle @ SonyPictures @ berger710 @ OliverBerben # SAVESHADOWHUNTERS""",,,,,,,,,,,,,
"2018-09-14 08:04;""# SaveColony @ netflix @ NetflixLifee @ reedhastings @ neilhunt @ tedsarandoss @ AmazonStudios @ jsalke @ PrimeVideo @ amazonprimenow @ JeffBezos. @ hulu @ hulu_support @ DEADLINE @ nerdist @ DenofGeekUS @ FilmDailyNewshttps://twitter.com/BarrionuevoXavi/status/1040563636471820288 …""",,,,,,,,,,,,,
"2018-09-14 07:09;""Thanks soul sista""",,,,,,,,,,,,,
"2018-09-14 07:07;""@ reedhastings Hello Mr. Hastings", I'd like to make you a request. Could you develope a programan that makes white subtitle change to another collor when the scenes bottom are whites? Seriously," I've been having a lot of difficult to read this parts in Netlix.""",,,,,,,,,,,
"2018-09-14 06:57;""Awesomepic.twitter.com/F7bn9ZjzAK""",,,,,,,,,,,,,
"2018-09-14 06:50;""@ reedhastings hey reed "," thought I should let you know that I’m highly disappointed at your HR team in Amsterdam . The customer service at the HR department is really horrible . And to think I really wanted to work at Netflix . First impressions really do count !""",,,,,,,,,,,,
"2018-09-14 06:48;""Amazing !!!!""",,,,,,,,,,,,,
"2018-09-14 06:15;""Renewed even when there have been so much negative reviews and a petition against it by viewers and YET # Gypsy cancelled less than 4 weeks after launching without publicity. @ netflix @ reedhastings what’s the deal? Pls # SaveGypsy""",,,,,,,,,,,,,
"2018-09-14 05:37;""Something positive for # GYPSY ... Thinking about a season2 now @ netflix .. criticism always happens"," plus we fans are one year waiting for Gypsy. # RenewGypsy # GypsyMatters # GypsySeason2 @ whatonnetflix @ reedhastings pic.twitter.com/sK7CUn4NgT""",,,,,,,,,,,,
"2018-09-14 03:56;""""Can't afford the bundle."" And the # data? What about that cost? As our cars", homes," etc. draw bandwidth not just that @ reedhastings $ NFLX subscription. Has anyone at # GSCommunacopia considered $ CHTR $ VZ et al. deciding they can charge both the buyer & seller? Me & Reed? # accesshttps://twitter.com/MsNabilaAhmed/status/1040252139879186432 …""",,,,,,,,,,,
"2018-09-14 03:06;""BESTDAYEVERPASSION @ BrianNorgard^ @ SteveCheney^ @ JasonLK^ @ SatyaNadella^ @ ReedHastings^ @ GaryVee^David Geffen^ @ JTWald^ @ ReidHoffman^ @ MattBilinsky^ @ TonyRobbins^ @ PeterGuber^ @ mcuban^ @ CEO^ @ Sacca^ @ Chamath^ @ DannyDuncan69^ @ Rapino99^ @ Jaltucher^ @ BrianGrazer^Ari Emanuel^ @ VAYNERMEDIA^WME/IMGhttps://twitter.com/JoeFBlaze/status/1040496696315150336 …""",,,,,,,,,,,,,
"2018-09-14 02:31;""@ netflix @ AmazonStudios @ ConstantinFilm @ CBC @ reedhastings @ mmoszkowicz Really"," i can't understand what you are waiting for... # saveshadowhuntershttps://twitter.com/FilmDailyNews/status/1040238875124350976 …""",,,,,,,,,,,,
"2018-09-14 02:22;""BESTDAYEVERPASSION @ BrianNorgard^ @ SteveCheney^ @ JasonLK^ @ SatyaNadella^ @ ReedHastings^ @ GaryVee^David Geffen^ @ JTWald^ @ ReidHoffman^ @ MattBilinsky^ @ TonyRobbins^ @ PeterGuber^ @ mcuban^ @ CEO^ @ Sacca^ @ Chamath^ @ DannyDuncan69^ @ Rapino99^ @ Jaltucher^ @ BrianGrazer^Ari Emanuel^ @ VAYNERMEDIA^WME/IMGhttps://twitter.com/MikePosner/status/1039952264276766721 …""",,,,,,,,,,,,,
"2018-09-14 02:18;""# SaveColony @ netflix @ NetflixLifee @ reedhastings @ neilhunt @ tedsarandoss @ AmazonStudios @ jnsalke @ amazonprimenow @ PrimeVideo @tedbezos @ hulu @ hulu_support @ SaveColony @ DEADLINE @ ProxySnyder @ nerdist @ FilmDailyNews @ DenofGeekUShttps://twitter.com/momkidschannel/status/1040444792662974464 …""",,,,,,,,,,,,,
"2018-09-14 02:09;""But that would mean we would technically only get like 2 extra episodes"," and OBVIOUSLY THAT'S NOT ENOUGH FOR THIS SHOW""",,,,,,,,,,,,
"2018-09-14 01:21;""Netflix", Inc. $ NFLX CEO Reed Hastings Sells 77,"672 Shares http://www.mareainformativa.com/?p=1029605""",,,,,,,,,,,
"2018-09-14 01:05;""@ heymikeMike this is amazing :) # SaveShadowhunters""",,,,,,,,,,,,,
"2018-09-14 00:52;"". @ reedhastings @ VernaMyers Alleged comments by Rachel Whetstone “I have never understood black people and they don’t understand me. That is why I don’t have a lot of them on my team.” Please explain to me why these allegations aren’t serious enough for @ netflix to investigate""",,,,,,,,,,,,,
"2018-09-14 00:42;""@ reedhastings Why are you not taking allegations of # RachelWhetstone making racist comments seriously? Shouldn’t you at least look into them? # BoycottNetflix # BlackTwitter # racism # diversity # Netflix""",,,,,,,,,,,,,
"2018-09-13 22:11;""They're crazy # RenewGypsy # SaveGypsy # SophieCookson # NaomiWatts @ hulu @ Working_Title @ UniversalPics @ hbo @ netflix @ KristyChanPark @ reedhastings @ AmazonStudios @ Showtime @ Cinemax @ STARZ @ TheCW @ lifetimetv @ nbc @ kellyb @ jonthecaren @ lnr516https://www.youtube.com/watch?v=eTCmIjQnEUo&feature=youtu.be …""",,,,,,,,,,,,,
"2018-09-13 22:09;""# Gypsy # RenewGypsy # SaveGypsy # SophieCookson # NaomiWatts @ hulu @ Working_Title @ UniversalPics @ hbo @ netflix @ KristyChanPark @ reedhastings @ AmazonStudios @ Showtime @ Cinemax @ STARZ @ TheCW @ lifetimetv @ nbc @ kellyb @ jonthecaren @ lnr516 https://www.youtube.com/watch?v=eTCmIjQnEUo&feature=youtu.be …""",,,,,,,,,,,,,
"2018-09-13 22:08;""It was # Gypsy # RenewGypsy # SaveGypsy # SophieCookson # NaomiWatts @ hulu @ Working_Title @ UniversalPics @ hbo @ netflix @ KristyChanPark @ reedhastings @ AmazonStudios @ Showtime @ Cinemax @ STARZ @ TheCW @ lifetimetv @ nbc @ kellyb @ jonthecaren @ lnr516 https://www.youtube.com/watch?v=eTCmIjQnEUo&feature=youtu.be …""",,,,,,,,,,,,,
"2018-09-13 22:03;""Masters of Scale podcast with Reid Hoffman: Netflix's Reed Hastings in Culture Shock. https://mastersofscale.com/reed-hastings-culture-shock/ … # Netflix # SiliconValley # tech # technology # entrepreneur""",,,,,,,,,,,,,
